STT,N_i dung,,
1,S_ _i_n tho_i khìng h_p l_,Invalid phone number,
2,M_t kh_u ch_a h_p l_,Invalid password,
3,_ang t_i...,Loading,
4,Xin __i trong giÉy l†t....,Please wait a moment,
5,B_n c_n cho phÇp _ng d_ng quy_n xem thìng tin Google Account __ __ng nh_p b_ng Google,Allowing the application to access your Google account information to log in,
6,"B_n _∆ t_ ch_i _ng d_ng quy_n xem thìng tin Google Account, khìng th_ __ng nh_p b_ng Google","You have denied the application to access your Google information, unable to log in with Google",
7,Tàn hi_n th_ tr_ng,Display name is empty,
8,Tàn __ng nh_p tr_ng,The username field is empty,
9,M_t kh_u c_ tr_ng,Old password is empty,
10,M_t kh_u m_i tr_ng,New password is empty,
11,M∆ x†c nh_n tr_ng,Confirmation code is empty,
12,M_t kh_u x†c nh_n ch_a tróng nhau,Password confirmation does not match password,
13,Ch_n _nh,Choose a photo,
14,Ch_p _nh,Take a photo,
15,L_y _nh t_ th_ vi_n,Choose a photo from library,
16,M_t kh_u x†c th_c tr_ng,Confirmation password is empty,
17,M_t k_t n_i v_i m†y ch_. Xin h∆y ki_m tra l_i m_ng!,Unable to connect to the server. Please check your network connecton,
18,Thay __i m_t kh_u thÖnh cìng,Your password has been reset successfully,
19,H_ th_ng _ang g_i m∆ x†c nh_n __n _i_n tho_i/ Email c_a b_n.,Sending confirmation code to your phone/email,
20,C_p nh_t d_ li_u thÖnh cìng,Data updated successfully,
21,__t xe,Book a car,
22,Tçm xe,Find car,
23,Tçm kh†ch,Find customer,
24,Thìng b†o,Notice,
25,Thàm,More,
26,__t xe tr_c tuy_n,Online booking,
27,KHµCH TﬁM XE,Find a car,
28,XE TﬁM KHµCH,Find a customer,
29,SÖn giao d_ch v_n t_i hÖnh kh†ch.,Transport exchange,
30,__NG NH_P,Log in,
31,__NG KÌ,Sign up,
32,QU“N M_T KH_U?,Forgot password?,
33,Quàn m_t kh_u,Forgot password?,
34,Tàn __ng nh_p,User name,
35,B_n _∆ c¢ tÖi kho_n ch_a?,Do you have an account?,
36,__ng nh_p ngay,Log in now,
37,__ng kÏ tÖi kho_n,Sign up for an account ( Create a new account),
38,VUI L„NG __NG NH_P \n__ S_ D_NG CH_C N_NG N∑Y,Please Login to use this feature),
39,Tçm __n v_ v_n t_i,Find a transport agency,
40,S_ l__ng:,Number,
41,S_ _i_n tho_i:,Phone number,
42,L_ TRﬁNH,Route,
43,_i_m _¢n __u tiàn,First pick-up point,
44,_i_m _¢n ti_p theo,Next pick-up point,
45,Thàm __a _i_m,Add more pick-up points,
46,_i_m _¢n cu_i cóng,Final destination,
47,Tr_ v_ _i_m __u,Return to the first pick-up point,
48,Xem l_ trçnh,View route,
49,NgÖy kh_i hÖnh,Departure date,
50,Th_i gian k_t th£c,Return time,"_Éy lÖ th_i gian kh†ch quay v_ _, n_u th_ thç return date, cïn n_u ngÖy kh†ch __m __a _i_m thç lÖ arrival date"
51,__C T÷NH GIµ,Estimate price,
52,S_ gh_,Number of seats,
53,S_ ngÖy thuà,rental period,
54,Gi† d_ ki_n,Planned price,
55,Thìng tin ng__i __t xe,Customer information,
56,Tàn hi_n th_,Display name,
57,Tàn tÖi kho_n,Username,
58,S_ _i_n tho_i,Phone number,
59,Nh_p l_i m_t kh_u,Re-enter the password,
60,Ch_n vai trï __ng kÏ,Select a role to register,
61,__n v_ v_n t_i,Transport agency,
62,Kh†ch HÖng,Customers,
63,XµC TH_C,Confirm,
64,M∆ x†c th_c,Confirmation code  ,
65,X†c th_c tÖi kho_n,Verify the account,
66,Tham gia,Join us,
67,G_i l_i,Resend,
68,Nh_p m∆ x†c th_c,Enter the confirmation code,
69,B_n c¢ th_ yàu c_u g_i l_i m∆ x†c nh_n sau,Request to send another confirmation code,
70,G_i _i,Send ,
,B_t _i_m _¢n,Less pick-up location,
,Thìng tin _i_m _¢n,Pick-up location information,
,Ch_n lo_i xe,Car type,
,4 ch_,4 seats,
,7 ch_,7 seats,
,10 ch_,10 seats,
,16 ch_,16 seats,
,29 ch_,29 seats,
,35 ch_,35 seats,
,45 ch_,45 seats,
,Tàn ng__i __t xe,Booking name,
,_i_n tho_i liàn h_,Phone number,
,Email liàn h_,Email,
,Thìng tin __t xe,Booking information,
,_ang x_ lÏ,Processing,
,G¢i chÖo gi†,Bidding package,
,__n v_ chÖo gi†,Bidder ,
,NgÖy b_ gi†,Offer date,
,__n gi†,Prices,
,K_t qu_,Results,
,NgÖy __n,Arrival date,
,NgÖy _i,Departure date,
,Gi_ _i,Arrival time ,
,Gi_ __n,Departure time,
,H∆y nh_p _i_m _¢n __u tiàn,Please enter the first pick-up point,
,H∆y nh_p _i_m _¢n cu_i cóng,Please enter the destination,
,H∆y ch_n ngÖy b_n mu_n kh_i hÖnh,Please choose your departure date,
,H∆y ch_n ngÖy k_t th£c chuy_n _i,Please choose your return date,
,H∆y ch_n gi_ b_n mu_n kh_i hÖnh,Please choose your departure time,
,H∆y ch_n gi_ b_n mu_n __n n_i,Please choose your expected arrival time,
,H∆y ch_n s_ gh_ c_a xe b_n mu_n _i,Please choose number of seats,
,Th_i gian kh_i hÖnh ph_i tr__c th_i gian k_t th£c,Departure time must be before arrival time,
,Ch_ ch£t,Please wait a moment ,
,T∑I X_,Driver,
,T∑I KHO_N,Account,
,Thìng tin c† nhÉn,Personal information,
,KHµC,Others,
,Thay __i m_t kh_u,Change password,
,C†c chuy_n _i m_i,New trips,
